player,perc_1st_serve,perc_1st_serve_points_won,perc_2nd_serve_points_won,perc_service_games_won,avg_aces__match,avg_double_faults_match,perc_1st_serve_return_points_won,perc_2nd_serve_return_points_won,perc_return_games_won,perc_break_points_converted,perc_break_points_saved,perc_tie_breaks_won,perc_deciding_sets_won,Score,Ranking
Maxime Cressy,0.29069767441860467,0.8953488372093024,0.8372093023255814,0.9418604651162791,64.59302325581395,-7.3604651162790695,0.05813953488372093,0.023255813953488372,0.06976744186046512,0.5697674418604651,0.872093023255814,0.23255813953488372,0.3372093023255814,4.208,12
Frances Tiafoe,0.05813953488372093,0.8255813953488372,0.6046511627906976,0.7906976744186046,27.593023255813954,5.6395348837209305,0.16279069767441862,0.8023255813953488,0.27906976744186046,0.3372093023255814,0.8837209302325582,2.4302325581395348,0.9186046511627907,4.1662,13
Jan-Lennard Struff,-0.43023255813953487,0.9186046511627907,0.5697674418604651,0.6395348837209303,41.104651162790695,-1.6395348837209303,-0.18604651162790697,0.3488372093023256,-0.686046511627907,-0.7558139534883721,0.5348837209302325,-1.558139534883721,-0.686046511627907,4.1526,14
Andrey Rublev,0.3023255813953488,0.8023255813953488,0.4883720930232558,0.813953488372093,21.674418604651162,6.093023255813954,0.5116279069767442,0.7674418604651163,0.5930232558139535,0.5,0.7093023255813954,0.9069767441860465,1.558139534883721,4.134400000000002,15
Brandon Nakashima,0.5930232558139535,0.7209302325581395,0.7674418604651163,0.7790697674418605,17.267441860465116,9.744186046511627,0.26744186046511625,0.3488372093023256,0.20930232558139536,0.3023255813953488,0.5581395348837209,1.2790697674418605,0.29069767441860467,4.0936,16
Steve Johnson,0.011627906976744186,0.8488372093023255,0.6744186046511628,0.7325581395348837,36.7906976744186,-3.546511627906977,0.03488372093023256,0.1744186046511628,0.05813953488372093,0.046511627906976744,0.7906976744186046,0.3953488372093023,0.3023255813953488,4.034999999999999,17
Stefanos Tsitsipas,0.4418604651162791,0.8023255813953488,0.9069767441860465,0.8604651162790697,18.569767441860463,5.27906976744186,0.38372093023255816,0.46511627906976744,0.3953488372093023,0.7093023255813954,0.8604651162790697,0.813953488372093,0.9069767441860465,3.9898000000000002,18
Karen Khachanov,0.9883720930232558,1.2209302325581395,0.7674418604651163,1.2093023255813953,23.27906976744186,3.7209302325581395,0.6162790697674418,0.5697674418604651,0.6162790697674418,1.2093023255813953,1.4534883720930232,0.6046511627906976,1.872093023255814,3.777,19
Daniil Medvedev,0.16279069767441862,0.686046511627907,0.011627906976744186,0.7906976744186046,33.906976744186046,-5.348837209302325,0.627906976744186,0.8837209302325582,0.7558139534883721,0.6976744186046512,0.8255813953488372,0.5930232558139535,-0.8372093023255814,3.7755999999999994,20
Ben Shelton,0.09302325581395349,1.7906976744186047,0.8604651162790697,2.0930232558139537,40.52325581395349,-8.86046511627907,0.12790697674418605,0.046511627906976744,0.046511627906976744,0.313953488372093,2.116279069767442,0.16279069767441862,0.19767441860465115,3.676800000000001,21
Thiago Monteiro,1.4186046511627908,1.0232558139534884,1.558139534883721,1.1627906976744187,10.930232558139535,12.813953488372093,-0.023255813953488372,0.37209302325581395,-0.08139534883720931,1.3255813953488371,1.127906976744186,-0.4186046511627907,0.5232558139534884,3.6614,22
Borna Coric,-0.11627906976744186,0.4069767441860465,0.7674418604651163,0.47674418604651164,12.569767441860465,8.325581395348838,-0.5348837209302325,-0.03488372093023256,-0.872093023255814,-0.9418604651162791,0.13953488372093023,1.686046511627907,-0.27906976744186046,3.6578,23
