player_name,age,height_cm,weight_kg,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,work_rate_attacking,work_rate_defensive,Score,Ranking
Pedro Alves-Correia_239915,0.06430155210643015,3.4057649667405765,3.8514412416851442,0.4656319290465632,0.0,0.0,-3.254988913525499,3.662971175166297,-1.5942350332594235,-1.680709534368071,-3.997782705099778,1.1175166297117516,-2.2416851441241685,4.226164079822617,2.425720620842572,-1.4545454545454546,4.616407982261641,-1.5388026607538803,1.8403547671840355,0.6274944567627494,-2.002217294900222,-1.4057649667405765,-3.6851441241685143,-2.8780487804878048,-1.4212860310421287,-1.1130820399113082,-3.057649667405765,2.6053215077605323,-3.4722838137472283,-2.303769401330377,5.407982261640798,2.5587583148558757,-1.6075388026607538,-4.643015521064301,2.8226164079822618,-1.3658536585365855,4.028824833702883,-1.6164079822616408,-2.658536585365854,-7.605321507760532,-7.860310421286031,0.07982261640798226,0.16851441241685144,406.4,432
Lucas De-Souza-Cunha_241829,-0.08869179600886919,1.2815964523281596,0.6008869179600886,0.0975609756097561,-0.5277161862527716,-0.057649667405764965,-2.926829268292683,-3.696230598669623,-3.9135254988913526,-3.6075388026607538,2.8492239467849223,0.729490022172949,-4.818181818181818,-4.06430155210643,1.2416851441241685,-3.1463414634146343,-3.713968957871397,-4.1662971175166295,-4.6496674057649665,-2.17960088691796,-3.8425720620842574,-3.8891352549889135,-3.046563192904656,-2.7494456762749446,-0.9578713968957872,-1.3059866962305986,-2.385809312638581,-3.270509977827051,3.237250554323725,-2.694013303769401,1.9534368070953436,-4.113082039911308,2.2572062084257207,2.565410199556541,-4.9490022172949,-4.232815964523281,-2.5809312638580932,-1.3680709534368072,2.8403547671840355,2.8736141906873613,2.9711751662971175,-0.31042128603104213,-0.09090909090909091,406.3999999999999,433
Luis Fellipe-Rodrigues-Mota_263973,-0.9623059866962306,1.6008869179600886,1.7228381374722839,0.0,0.0,0.0,-2.223946784922395,3.7161862527716187,-2.563192904656319,-1.2682926829268293,-4.199556541019955,-1.9312638580931263,-2.4855875831485585,4.964523281596453,3.4988913525498893,-3.2527716186252773,0.49223946784922396,-1.516629711751663,-1.58980044345898,-0.4789356984478936,-2.9866962305986697,-0.7671840354767184,-2.188470066518847,-2.2505543237250554,-1.8736141906873613,-2.186252771618625,-0.2106430155210643,2.8226164079822618,0.7671840354767184,-2.197339246119734,-0.5853658536585366,2.671840354767184,-4.075388026607539,-3.920177383592018,1.4634146341463414,-0.8093126385809313,5.290465631929046,-2.8802660753880267,-5.41019955654102,-4.776053215077606,-4.7317073170731705,0.03991130820399113,0.08425720620842572,404.8,434
Diogo Da-Costa-Silva_259018,1.1019955654101996,2.966740576496674,3.671840354767184,0.44789356984478934,-0.10199556541019955,-0.022172949002217297,-0.8314855875831486,-4.197339246119734,-4.405764966740577,-3.237250554323725,2.4988913525498893,-0.29933481152993346,-4.600886917960088,-4.490022172949002,1.0532150776053215,-3.620842572062084,-4.419068736141907,-3.8758314855875833,-5.128603104212861,-3.9046563192904657,-3.292682926829268,-3.343680709534368,-0.47671840354767187,-1.1596452328159645,-2.161862527716186,-2.3237250554323725,-0.7472283813747228,-1.5942350332594235,2.0931263858093128,-5.873614190687362,2.8758314855875833,-5.319290465631929,-0.29711751662971175,3.379157427937916,-6.139689578713969,-5.235033259423504,-1.6430155210643016,-2.2771618625277164,3.190687361419069,2.024390243902439,2.401330376940133,0.07982261640798226,0.16851441241685144,404.40000000000003,435
Jackson Porozo_260740,-1.6496674057649667,3.3348115299334813,3.1241685144124167,-0.7849223946784922,-0.532150776053215,-0.0598669623059867,-1.957871396895787,-5.454545454545454,-5.747228381374723,-6.299334811529934,2.696230598669623,2.008869179600887,-5.7028824833702885,-5.042128603104213,2.625277161862528,-4.738359201773836,-5.532150776053215,-7.412416851441241,-4.762749445676275,-3.0997782705099777,-6.842572062084257,-4.906873614190688,-2.16629711751663,-1.711751662971175,-6.0554323725055434,-1.8558758314855877,-5.549889135254989,-5.636363636363637,1.9490022172949002,-1.017738359201774,3.4656319290465634,-5.85809312638581,0.34146341463414637,4.25720620842572,-5.8137472283813745,-6.352549889135255,-3.5099778270509976,-4.368070953436807,3.2283813747228383,1.8625277161862528,2.8181818181818183,-0.9600886917960089,-0.09090909090909091,404.3999999999999,436
Joao Paulo-Marques-Goncalves_252407,-0.1419068736141907,2.4855875831485585,1.7184035476718404,0.2328159645232816,0.0,0.0,-2.1751662971175167,-5.130820399113082,-5.898004434589801,-3.731707317073171,3.7472283813747227,1.0088691796008868,-5.995565410199556,-5.212860310421286,1.3370288248337028,-5.042128603104213,-4.164079822616408,-5.585365853658536,-6.150776053215077,-3.8226164079822618,-6.603104212860311,-1.7849223946784922,-1.3259423503325942,-3.0399113082039912,-3.1374722838137474,0.9889135254988913,-1.5676274944567627,-3.6762749445676275,2.0997782705099777,-0.9977827050997783,0.9467849223946785,-5.822616407982261,2.139689578713969,4.323725055432372,-6.314855875831485,-6.159645232815964,-3.188470066518847,-3.727272727272727,3.9733924611973395,4.004434589800444,4.385809312638581,1.3392461197339247,0.0,402.99999999999994,437
Mohamed Aidara_262426,0.42350332594235035,1.6917960088691797,1.9401330376940134,-0.7671840354767184,-0.5277161862527716,-0.057649667405764965,-4.507760532150776,-5.9201773835920175,-6.033259423503326,-7.137472283813747,2.984478935698448,2.248337028824834,-6.416851441241685,-6.221729490022173,2.8425720620842574,-5.82039911308204,-3.6075388026607538,-7.7073170731707314,-6.381374722838138,-3.015521064301552,-5.96230598669623,-7.556541019955654,-4.776053215077606,-4.299334811529934,-4.390243902439025,-3.882483370288248,-3.6075388026607538,-4.419068736141907,1.8425720620842572,-1.9977827050997783,3.172949002217295,-6.507760532150776,3.5942350332594235,2.7494456762749446,-6.92239467849224,-6.135254988913526,-3.9623059866962307,-4.1529933481153,2.9312638580931263,3.0044345898004434,3.066518847006652,-0.9600886917960089,-0.0066518847006651885,402.79999999999995,438
Bruno Rodrigues_260167,-1.8957871396895787,1.7915742793791574,1.5698447893569845,0.07982261640798226,-0.6297117516629712,-0.07982261640798226,-4.5388026607538805,-6.254988913525499,-5.381374722838138,-8.146341463414634,1.042128603104213,-0.5764966740576497,-7.47450110864745,-6.423503325942351,0.11529933481152993,-4.445676274944567,-3.8226164079822618,-9.286031042128602,-5.631929046563193,-7.518847006651884,-2.5609756097560976,-8.197339246119734,-4.512195121951219,-4.605321507760532,-5.008869179600887,-4.694013303769402,-3.467849223946785,-5.558758314855876,0.2749445676274945,-1.3614190687361418,-0.17073170731707318,-7.086474501108648,-2.1929046563192904,0.23503325942350334,-7.0,-5.319290465631929,-2.483370288248337,-5.55210643015521,0.028824833702882482,2.7472283813747227,2.2882483370288247,-0.31042128603104213,0.8248337028824834,402.6,439
