player,perc_1st_serve,perc_1st_serve_points_won,perc_2nd_serve_points_won,perc_service_games_won,avg_aces__match,avg_double_faults_match,perc_1st_serve_return_points_won,perc_2nd_serve_return_points_won,perc_return_games_won,perc_break_points_converted_x,perc_break_points_converted_y,perc_break_points_saved,perc_tie_breaks_won,perc_deciding_sets_won,Score,Ranking
John Isner,0.9534883720930233,0.9767441860465116,0.7790697674418605,0.9767441860465116,43.02325581395349,0.4418604651162791,0.0,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.9418604651162791,0.8372093023255814,0.5581395348837209,11.062999999999997,1
Reilly Opelka,0.686046511627907,0.9651162790697675,0.9883720930232558,0.9651162790697675,35.97674418604651,1.1627906976744187,0.023255813953488372,0.03488372093023256,0.023255813953488372,0.03488372093023256,0.03488372093023256,0.9651162790697675,0.43023255813953487,0.8953488372093024,8.141,2
Nick Kyrgios,0.9418604651162791,0.9418604651162791,0.9534883720930233,0.9883720930232558,44.58139534883721,0.0,0.20930232558139536,0.18604651162790697,0.27906976744186046,0.8372093023255814,0.8372093023255814,0.9883720930232558,0.6627906976744186,0.872093023255814,7.5996,3
Hubert Hurkacz,0.4883720930232558,0.8837209302325582,0.9186046511627907,0.9534883720930233,29.406976744186046,1.7790697674418605,0.23255813953488372,0.18604651162790697,0.1744186046511628,0.26744186046511625,0.26744186046511625,0.9302325581395349,0.3488372093023256,0.686046511627907,7.1137999999999995,4
Matteo Berrettini,0.5348837209302325,0.8953488372093024,0.5697674418604651,0.9186046511627907,32.116279069767444,1.5813953488372092,0.4069767441860465,0.06976744186046512,0.1744186046511628,0.20930232558139536,0.20930232558139536,0.9186046511627907,0.8604651162790697,0.7790697674418605,6.441600000000001,5
Nicolas Jarry,0.5930232558139535,0.9883720930232558,0.1744186046511628,0.8953488372093024,37.75581395348837,1.3372093023255813,0.011627906976744186,0.0,0.0,0.0,0.0,0.7558139534883721,0.313953488372093,0.023255813953488372,6.0746,6
Taylor Fritz,0.3372093023255814,0.7790697674418605,0.6744186046511628,0.7674418604651163,31.38372093023256,3.2674418604651163,0.5116279069767442,0.8255813953488372,0.6976744186046512,0.27906976744186046,0.27906976744186046,0.5465116279069767,0.7093023255813954,0.6744186046511628,5.3706000000000005,7
Marin Cilic,0.11627906976744186,0.9186046511627907,0.5581395348837209,0.8488372093023255,41.66279069767442,0.2441860465116279,0.6744186046511628,0.5232558139534884,0.5581395348837209,0.3372093023255814,0.3372093023255814,0.8488372093023255,0.43023255813953487,0.27906976744186046,5.280200000000001,8
Arthur Rinderknech,0.7906976744186046,0.7209302325581395,0.12790697674418605,0.7441860465116279,26.511627906976745,4.209302325581396,0.046511627906976744,0.08139534883720931,0.08139534883720931,0.08139534883720931,0.08139534883720931,0.8255813953488372,0.686046511627907,1.197674418604651,5.135999999999999,9
Felix Auger-Aliassime,0.6162790697674418,0.8488372093023255,0.3023255813953488,0.8604651162790697,38.86046511627907,-1.0116279069767442,0.6976744186046512,0.2441860465116279,0.38372093023255816,0.2441860465116279,0.2441860465116279,0.8837209302325582,0.7790697674418605,0.6395348837209303,5.0758,10
Alexander Bublik,0.13953488372093023,0.9186046511627907,0.0,0.5697674418604651,59.53488372093023,-4.825581395348837,0.6395348837209303,0.10465116279069768,0.313953488372093,0.5232558139534884,0.5232558139534884,0.6046511627906976,0.43023255813953487,0.6627906976744186,4.417000000000001,11
Maxime Cressy,0.29069767441860467,0.8953488372093024,0.8372093023255814,0.9302325581395349,64.59302325581395,-7.372093023255814,0.05813953488372093,0.023255813953488372,0.06976744186046512,0.5697674418604651,0.5697674418604651,0.872093023255814,0.23255813953488372,0.32558139534883723,4.287800000000001,12
Frances Tiafoe,0.05813953488372093,0.6511627906976745,0.5930232558139535,0.5930232558139535,27.732558139534884,5.709302325581396,0.16279069767441862,0.7325581395348837,0.2441860465116279,0.3023255813953488,0.3023255813953488,0.7558139534883721,2.2674418604651163,0.7674418604651163,4.2424,13
Andrey Rublev,0.5930232558139535,1.5813953488372092,0.8953488372093024,1.5930232558139534,22.74418604651163,7.058139534883721,1.0,1.5,1.1744186046511629,0.9302325581395349,0.9302325581395349,1.4069767441860466,1.755813953488372,2.4651162790697674,4.213200000000002,14
Jan-Lennard Struff,-0.9069767441860465,0.5348837209302325,0.1744186046511628,0.23255813953488372,40.52325581395349,-2.313953488372093,-0.7906976744186046,-0.22093023255813954,-1.0232558139534884,-1.0,-1.0,0.2441860465116279,-2.0697674418604652,-1.1744186046511629,4.2124,15
Brandon Nakashima,0.5930232558139535,0.7209302325581395,0.7674418604651163,0.7790697674418605,17.290697674418606,9.767441860465116,0.26744186046511625,0.3488372093023256,0.20930232558139536,0.3023255813953488,0.3023255813953488,0.5581395348837209,1.1627906976744187,0.2441860465116279,4.1702,16
Steve Johnson,0.011627906976744186,0.9302325581395349,0.6744186046511628,0.8023255813953488,36.94186046511628,-3.511627906976744,0.03488372093023256,0.1744186046511628,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.8023255813953488,0.5116279069767442,0.45348837209302323,4.097599999999999,17
Stefanos Tsitsipas,0.4418604651162791,0.8023255813953488,0.9069767441860465,0.8604651162790697,18.546511627906977,5.186046511627907,0.38372093023255816,0.46511627906976744,0.3953488372093023,0.7093023255813954,0.7093023255813954,0.8604651162790697,0.7790697674418605,0.9069767441860465,4.0728,18
Daniil Medvedev,0.9767441860465116,1.569767441860465,0.6976744186046512,1.7325581395348837,34.825581395348834,-4.383720930232558,1.4767441860465116,1.813953488372093,1.6511627906976745,1.5465116279069768,1.5465116279069768,1.7906976744186047,1.558139534883721,0.13953488372093023,3.8603999999999994,19
Karen Khachanov,0.19767441860465115,0.3023255813953488,0.06976744186046512,0.3023255813953488,22.302325581395348,2.6744186046511627,-0.19767441860465115,-0.2558139534883721,-0.26744186046511625,0.3953488372093023,0.3953488372093023,0.5697674418604651,-0.3488372093023256,0.8837209302325582,3.8586,20
