player,age,g,gs,mp,fg_perc,3p_perc,2p_perc,efg_perc,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,Score,Ranking
Anthony Edwards,-4.513353115727003,43.017804154302674,95.67952522255193,19.997032640949556,0.49258160237388726,0.6112759643916914,0.3115727002967359,0.36795252225519287,0.39762611275964393,-0.1572700296735905,4.359050445103858,3.56973293768546,4.077151335311573,3.3471810089020773,1.086053412462908,4.637982195845697,1.7893175074183976,48.324999999999996,11
Draymond Green,10.697329376854599,30.356083086053413,84.03560830860535,10.887240356083087,0.9673590504451038,0.26112759643916916,1.0919881305637982,0.7388724035608308,0.29673590504451036,0.9703264094955489,5.492581602373887,4.976261127596439,6.427299703264095,1.8635014836795252,2.4896142433234423,3.620178041543027,3.4451038575667656,48.2254,12
Bam Adebayo,-1.0148367952522255,33.789317507418396,87.34718100890208,16.362017804154302,0.8130563798219584,-0.887240356083086,0.47477744807121663,0.4065281899109792,0.6053412462908012,2.940652818991098,4.946587537091988,7.3056379821958455,0.9614243323442137,2.029673590504451,1.9080118694362018,2.397626112759644,2.1810089020771515,48.202999999999996,13
Jayson Tatum,-2.943620178041543,31.326409495548962,85.02967359050444,20.801186943620177,0.516320474777448,0.5222551928783383,0.6231454005934718,0.4629080118694362,0.887240356083086,0.47181008902077154,5.519287833827893,5.9614243323442135,2.5608308605341246,1.2789317507418398,1.1899109792284865,2.4094955489614245,0.456973293768546,48.15420000000001,14
DeMar DeRozan,10.548961424332344,30.80415430267062,84.45697329376854,18.76854599406528,0.7359050445103857,0.2789317507418398,0.39762611275964393,0.3115727002967359,0.8783382789317508,-1.4718100890207715,0.47477744807121663,-0.5964391691394659,2.2522255192878338,0.6498516320474778,0.228486646884273,0.4807121661721068,0.41543026706231456,48.109600000000015,15
CJ McCollum,8.643916913946587,34.82195845697329,87.89614243323442,19.02967359050445,0.3115727002967359,0.7566765578635015,0.12166172106824925,0.26706231454005935,0.4658753709198813,0.07418397626112759,0.7566765578635015,0.13056379821958458,4.655786350148368,0.7210682492581603,0.5786350148367952,2.2818991097922847,0.685459940652819,47.81580000000001,16
Zach LaVine,1.6498516320474776,39.332344213649854,91.90504451038575,20.89020771513353,0.6943620178041543,0.7863501483679525,0.6617210682492581,0.6231454005934718,1.089020771513353,-0.21068249258160238,0.6795252225519288,-0.11572700296735905,1.4391691394658754,1.1038575667655786,-0.04747774480712166,1.6439169139465875,0.7804154302670623,47.704400000000014,17
Pascal Siakam,2.635014836795252,25.821958456973295,79.66468842729971,23.869436201780417,0.5133531157270029,0.23738872403560832,0.24629080118694363,0.17210682492581603,0.3827893175074184,0.5934718100890207,2.9554896142433233,4.649851632047477,4.106824925816023,0.39465875370919884,0.3293768545994065,0.658753709198813,0.9080118694362018,47.6832,18
Scottie Barnes,-4.700296735905044,44.652818991097924,94.05044510385757,23.893175074183976,0.6172106824925816,0.2166172106824926,0.3798219584569733,0.16023738872403562,0.798219584569733,5.58753709198813,4.774480712166172,6.830860534124629,6.599406528189911,3.0949554896142435,3.341246290801187,4.005934718100891,2.451038575667656,47.0802,19
Nic Claxton,-2.578635014836795,41.37091988130564,93.19287833827893,11.364985163204748,1.5519287833827893,-0.9495548961424333,1.0741839762611276,1.0178041543026706,-0.887240356083086,5.017804154302671,7.955489614243324,10.160237388724036,0.4896142433234421,1.2670623145400592,6.572700296735905,1.1216617210682494,3.459940652818991,47.07179999999999,20
Ivica Zubac,0.10979228486646884,40.92284866468843,92.6379821958457,8.154302670623146,1.8872403560830862,-1.7210682492581602,1.7270029673590503,1.774480712166172,0.31750741839762614,5.462908011869437,7.373887240356083,11.270029673590505,-2.1246290801186944,-1.0237388724035608,3.620178041543027,1.4955489614243322,3.4540059347181007,47.0204,21
Dejounte Murray,0.8961424332344213,35.33827893175074,87.65281899109792,26.062314540059347,0.23738872403560832,0.17507418397626112,-0.13056379821958458,-0.23738872403560832,0.6023738872403561,-0.712166172106825,2.6735905044510386,2.1899109792284865,6.249258160237389,2.578635014836795,-0.6409495548961425,2.249258160237389,-2.029673590504451,47.013600000000004,22
Buddy Hield,8.002967359050444,48.74183976261128,85.35311572700297,11.916913946587536,0.4629080118694362,1.0148367952522255,0.33827893175074186,0.827893175074184,0.7359050445103857,-0.42136498516320475,1.5667655786350148,1.0801186943620178,0.314540059347181,1.513353115727003,-0.34124629080118696,0.6023738872403561,-0.3560830860534125,46.96380000000001,23
Rudy Gobert,7.563798219584569,25.777448071216618,79.01483679525222,10.670623145400594,0.973293768545994,-0.9851632047477745,0.9465875370919882,0.9584569732937686,-0.17210682492581603,3.5519287833827895,7.700296735905044,14.320474777448071,-3.486646884272997,-0.017804154302670624,1.8189910979228487,0.02373887240356083,1.688427299703264,46.92499999999999,24
Franz Wagner,-8.228486646884273,49.67359050445104,99.48367952522256,16.700296735905045,0.6409495548961425,0.599406528189911,0.5222551928783383,0.4629080118694362,0.8427299703264095,0.42136498516320475,-0.2166172106824926,-0.5103857566765578,1.311572700296736,1.3412462908011868,-0.03560830860534125,1.572700296735905,1.1157270029673592,46.73500000000002,25
